Open,High,Low,Close,Vol.,Change %
6.05,6.25,6.05,6.15,2.48M,2.50%
6.2,6.4,6.15,6.3,11.26M,2.44%
6.25,6.4,6.25,6.3,8.92M,0.00%
6.3,6.4,6.3,6.35,2.15M,0.79%
6.4,6.6,6.35,6.45,30.86M,1.57%
6.5,6.6,6.5,6.55,9.59M,1.55%
6.55,6.55,6.3,6.5,11.99M,-0.76%
6.5,6.5,6.35,6.4,5.66M,-1.54%
6.35,6.5,6.3,6.4,13.53M,0.00%
6.45,6.6,6.45,6.45,35.56M,0.78%
6.55,6.65,6.55,6.55,34.86M,1.55%
6.55,6.65,6.55,6.6,16.00M,0.76%
6.6,6.65,6.55,6.6,15.18M,0.00%
6.6,6.7,6.6,6.6,13.18M,0.00%
6.65,6.7,6.6,6.6,14.37M,0.00%
6.65,6.7,6.6,6.6,6.62M,0.00%
6.6,6.7,6.6,6.65,8.19M,0.76%
6.65,6.75,6.65,6.7,4.58M,0.75%
6.8,6.95,6.7,6.85,11.28M,2.24%
6.9,7.1,6.85,7.0,22.63M,2.19%
7.0,7.2,7.0,7.05,30.74M,0.71%
7.05,7.15,7.05,7.1,32.80M,0.71%
7.1,7.2,7.1,7.15,21.73M,0.70%
7.15,7.4,7.15,7.2,30.00M,0.70%
7.25,7.25,7.1,7.2,30.26M,0.00%
7.1,7.15,6.8,6.95,2.13M,-3.47%
6.85,7.0,6.8,6.9,4.88M,-0.72%
6.95,7.2,6.95,7.1,10.31M,2.90%
7.2,7.55,7.15,7.35,60.05M,3.52%
7.3,7.3,7.2,7.25,8.85M,-1.36%
7.25,7.25,7.1,7.15,6.27M,-1.38%
7.1,7.15,7.0,7.0,1.83M,-2.10%
7.0,7.2,7.0,7.1,14.33M,1.43%
7.1,7.2,7.05,7.15,23.90M,0.70%
7.1,7.1,7.0,7.05,10.23M,-1.40%
7.0,7.1,6.9,7.0,5.19M,-0.71%
7.0,7.05,6.65,7.0,4.15M,0.00%
7.0,7.15,7.0,7.05,5.79M,0.71%
7.05,7.25,7.05,7.15,9.11M,1.42%
7.15,7.3,7.15,7.25,17.70M,1.40%
7.25,7.3,7.2,7.25,33.11M,0.00%
7.2,7.25,7.15,7.2,34.15M,-0.69%
7.2,7.2,7.05,7.1,70.20M,-1.39%
7.05,7.2,7.05,7.1,72.39M,0.00%
7.1,7.25,7.1,7.15,8.19M,0.70%
7.2,7.25,7.2,7.2,4.14M,0.70%
7.2,7.35,7.2,7.25,5.53M,0.69%
7.25,7.45,7.25,7.35,16.51M,1.38%
7.35,7.45,7.3,7.35,7.46M,0.00%
7.35,7.4,7.2,7.3,26.27M,-0.68%
7.2,7.2,6.6,7.0,12.91M,-4.11%
7.0,7.0,6.5,6.7,24.97M,-4.29%
6.8,7.0,6.8,6.9,2.25M,2.99%
6.9,7.0,6.9,6.95,58.65M,0.72%
6.95,6.95,6.7,6.9,55.24M,-0.72%
6.85,6.85,6.7,6.75,19.16M,-2.17%
6.75,6.75,6.65,6.7,2.14M,-0.74%
6.7,6.8,6.65,6.75,16.33M,0.75%
6.65,6.75,6.6,6.65,3.01M,-1.48%
6.6,6.65,6.45,6.5,28.68M,-2.26%
6.5,6.65,6.45,6.55,3.53M,0.77%
6.5,6.6,6.35,6.45,8.28M,-1.53%
6.4,6.5,6.15,6.4,26.43M,-0.78%
6.4,6.5,6.25,6.35,23.66M,-0.78%
6.4,6.6,6.3,6.45,7.17M,1.57%
6.45,6.85,6.45,6.75,14.03M,4.65%
6.75,6.8,6.55,6.75,33.75M,0.00%
6.7,6.75,6.6,6.7,7.49M,-0.74%
6.7,6.85,6.65,6.75,20.35M,0.75%
6.75,7.0,6.75,6.9,1.57M,2.22%
6.9,7.15,6.9,7.05,37.89M,2.17%
7.1,7.5,7.1,7.3,13.52M,3.55%
7.3,7.5,7.3,7.4,7.01M,1.37%
7.55,7.55,7.2,7.35,38.64M,-0.68%
7.3,7.45,7.2,7.3,15.68M,-0.68%
7.35,7.35,7.2,7.25,4.64M,-0.68%
7.25,7.3,7.0,7.1,6.96M,-2.07%
7.1,7.1,7.0,7.0,21.68M,-1.41%
7.0,7.2,7.0,7.05,5.06M,0.71%
7.05,7.2,7.05,7.05,12.05M,0.00%
7.05,7.3,7.05,7.15,1.34M,1.42%
7.15,7.3,7.15,7.15,10.21M,0.00%
7.15,7.35,7.15,7.25,12.13M,1.40%
7.3,7.35,7.2,7.3,13.75M,0.69%
7.2,7.3,7.2,7.25,8.04M,-0.68%
7.3,7.35,7.25,7.25,9.79M,0.00%
7.25,7.35,7.1,7.3,11.57M,0.69%
7.3,7.35,7.3,7.3,1.81M,0.00%
7.3,7.5,7.3,7.4,4.23M,1.37%
7.4,8.0,7.4,7.7,13.82M,4.05%
7.7,8.0,7.5,7.85,9.46M,1.95%
7.65,7.75,7.65,7.65,3.47M,-2.55%
7.65,7.85,7.65,7.75,21.90M,1.31%
7.7,8.0,7.7,7.9,16.76M,1.94%
7.9,8.15,7.9,8.05,23.90M,1.90%
8.05,8.25,8.0,8.15,22.20M,1.24%
8.15,8.25,8.15,8.2,9.69M,0.61%
8.2,8.2,8.0,8.05,11.97M,-1.83%
8.0,8.05,7.85,7.95,5.17M,-1.24%
7.9,7.95,7.85,7.9,3.25M,-0.63%
7.95,8.0,7.9,7.9,17.78M,0.00%
7.9,7.95,7.65,7.75,9.07M,-1.90%
7.75,7.75,7.45,7.5,28.18M,-3.23%
7.5,7.8,7.45,7.65,86.80K,2.00%
7.7,7.8,7.6,7.7,14.22M,0.65%
7.7,7.8,7.6,7.65,1.30M,-0.65%
7.7,7.85,7.7,7.75,2.80M,1.31%
7.75,7.85,7.7,7.8,12.54M,0.65%
7.75,7.9,7.75,7.85,4.95M,0.64%
7.75,7.9,7.75,7.85,36.50M,0.00%
7.85,8.25,7.8,8.05,11.18M,2.55%
8.1,8.15,8.05,8.1,7.02M,0.62%
8.1,8.15,8.05,8.05,15.40M,-0.62%
8.05,8.15,8.05,8.05,14.29M,0.00%
7.95,8.1,7.8,8.0,13.66M,-0.62%
8.05,8.15,8.05,8.1,13.32M,1.25%
8.1,8.25,8.1,8.15,21.74M,0.62%
8.2,8.3,8.2,8.2,7.85M,0.61%
8.2,8.45,8.2,8.35,6.29M,1.83%
8.35,8.7,8.35,8.5,16.94M,1.80%
8.5,8.5,8.2,8.35,9.33M,-1.76%
8.2,8.35,8.2,8.25,31.57M,-1.20%
8.3,8.45,8.3,8.4,29.90M,1.82%
8.35,8.5,8.3,8.35,8.20M,-0.60%
8.35,8.4,8.25,8.35,7.27M,0.00%
8.35,8.7,8.25,8.5,7.22M,1.80%
8.5,8.75,8.5,8.7,1.82M,2.35%
8.55,8.95,8.55,8.75,14.19M,0.57%
8.7,9.0,8.7,8.9,16.37M,1.71%
8.9,8.95,8.9,8.9,15.07M,0.00%
8.9,9.25,8.9,9.1,28.54M,2.25%
9.2,9.5,9.2,9.4,28.03M,3.30%
9.3,9.4,9.1,9.1,25.06M,-3.19%
9.15,9.15,8.8,9.0,39.75M,-1.10%
9.0,9.1,8.95,9.0,62.12M,0.00%
9.0,9.25,9.0,9.05,26.20M,0.56%
9.1,9.2,9.1,9.15,25.16M,1.10%
9.2,9.25,9.1,9.15,15.95M,0.00%
9.15,9.2,9.05,9.1,4.02M,-0.55%
9.1,9.15,9.05,9.1,21.02M,0.00%
9.1,9.15,8.85,8.95,3.80M,-1.65%
8.5,9.1,8.2,9.05,45.10M,1.12%
9.05,9.1,8.8,9.05,36.33M,0.00%
9.0,9.05,8.9,9.0,10.87M,-0.55%
9.0,9.1,8.95,9.0,2.19M,0.00%
9.05,9.4,9.05,9.25,18.02M,2.78%
9.25,9.7,9.25,9.45,15.88M,2.16%
9.5,9.7,9.5,9.55,3.39M,1.06%
9.55,9.9,9.5,9.7,15.07M,1.57%
9.7,9.8,9.3,9.65,16.23M,-0.52%
9.7,10.2,9.45,9.7,42.03M,0.52%
9.45,9.95,9.45,9.85,23.78M,1.55%
9.85,9.95,9.6,9.75,13.60M,-1.02%
9.65,9.9,9.5,9.8,7.12M,0.51%
9.85,9.9,9.75,9.8,9.92M,0.00%
9.8,10.0,9.75,9.8,5.73M,0.00%
9.8,9.95,9.8,9.85,16.21M,0.51%
9.9,9.95,9.8,9.85,8.73M,0.00%
9.85,10.0,9.85,9.9,6.52M,0.51%
9.85,10.1,9.85,9.95,8.03M,0.51%
10.0,10.3,9.95,10.05,6.70M,1.01%
10.2,10.75,10.2,10.6,22.97M,5.47%
10.6,10.9,10.6,10.75,33.61M,1.42%
10.8,11.05,10.8,10.95,13.83M,1.86%
11.0,11.1,10.95,11.0,53.18M,0.46%
11.0,11.2,10.95,11.0,9.02M,0.00%
11.05,11.1,10.9,11.0,9.10M,0.00%
10.9,10.95,10.6,10.8,2.62M,-1.82%
10.7,11.0,10.55,10.85,2.93M,0.46%
10.95,11.0,10.75,10.8,9.11M,-0.46%
10.75,10.85,10.55,10.75,12.50M,-0.46%
10.7,10.7,10.0,10.35,24.09M,-3.72%
10.4,10.5,10.2,10.35,16.08M,0.00%
10.3,10.4,10.25,10.35,12.76M,0.00%
10.25,10.35,10.1,10.2,23.97M,-1.45%
10.2,10.2,9.9,10.05,26.98M,-1.47%
9.9,10.1,9.6,10.0,15.65M,-0.50%
9.9,10.0,9.7,9.85,22.46M,-1.50%
9.9,10.0,9.85,9.95,15.35M,1.02%
10.0,10.1,9.95,10.0,16.59M,0.50%
10.0,10.15,10.0,10.05,8.71M,0.50%
10.15,10.5,10.1,10.25,2.64M,1.99%
10.4,11.0,10.4,10.85,2.99M,5.85%
10.55,10.9,10.55,10.75,7.55M,-0.92%
10.75,11.0,10.6,10.85,11.07M,0.93%
10.95,10.95,10.8,10.85,2.46M,0.00%
10.9,10.9,10.6,10.75,3.51M,-0.92%
10.8,10.95,10.75,10.8,2.71M,0.47%
10.9,11.15,10.8,11.05,9.52M,2.31%
11.0,11.15,11.0,11.1,5.57M,0.45%
11.1,11.65,11.1,11.35,6.69M,2.25%
11.6,11.95,11.55,11.7,24.76M,3.08%
11.8,11.95,11.45,11.75,33.43M,0.43%
11.6,11.75,11.35,11.65,19.46M,-0.85%
11.7,11.75,11.45,11.65,5.70M,0.00%
11.7,11.75,11.35,11.7,8.77M,0.43%
11.7,11.75,11.4,11.5,9.56M,-1.71%
11.55,11.6,11.5,11.5,1.93M,0.00%
11.5,11.8,11.4,11.7,7.60M,1.74%
11.7,12.0,11.65,11.75,11.31M,0.43%
11.75,12.1,11.75,12.0,10.58M,2.13%
12.0,12.2,11.95,12.05,9.79M,0.42%
12.2,12.8,12.2,12.45,16.04M,3.32%
12.45,12.6,12.25,12.35,43.17M,-0.80%
12.3,12.4,12.0,12.05,10.10M,-2.43%
12.05,12.05,11.75,11.85,14.13M,-1.66%
11.6,11.8,11.4,11.5,16.65M,-2.95%
11.45,11.45,10.6,11.0,12.36M,-4.35%
11.0,11.4,11.0,11.2,15.52M,1.82%
11.35,11.5,11.3,11.35,6.65M,1.34%
11.3,11.85,11.3,11.45,2.27M,0.88%
11.5,12.05,11.5,11.95,28.88M,4.37%
11.95,12.0,11.75,11.85,8.47M,-0.84%
11.85,11.85,11.55,11.75,12.19M,-0.84%
11.85,11.85,11.7,11.8,14.58M,0.43%
11.75,11.95,11.75,11.8,5.42M,0.00%
11.8,11.8,11.65,11.7,15.77M,-0.85%
11.8,12.0,11.7,11.8,2.46M,0.85%
11.8,11.85,11.5,11.65,9.36M,-1.27%
11.65,11.65,11.45,11.55,6.68M,-0.86%
11.6,11.6,11.35,11.4,10.00M,-1.30%
11.4,11.5,11.3,11.4,15.92M,0.00%
11.4,11.5,11.35,11.4,11.72M,0.00%
11.35,11.5,11.35,11.45,9.23M,0.44%
11.4,11.75,11.4,11.55,10.63M,0.87%
11.65,11.75,11.55,11.65,6.33M,0.87%
11.7,11.8,11.55,11.65,5.14M,0.00%
11.75,11.8,11.65,11.7,19.98M,0.43%
11.75,11.75,11.65,11.7,2.95M,0.00%
11.7,11.8,11.7,11.7,5.00M,0.00%
11.7,11.8,11.65,11.7,16.39M,0.00%
11.7,11.9,11.7,11.8,27.45M,0.85%
11.7,11.85,11.7,11.75,11.85M,-0.42%
11.75,11.9,11.75,11.8,7.07M,0.43%
11.75,11.9,11.75,11.8,5.71M,0.00%
11.8,12.1,11.75,11.9,3.24M,0.85%
12.0,12.6,12.0,12.35,12.73M,3.78%
12.25,12.35,12.0,12.05,2.59M,-2.43%
12.05,12.3,12.0,12.1,6.35M,0.41%
12.15,12.3,12.1,12.2,11.64M,0.83%
12.2,12.5,12.2,12.3,3.06M,0.82%
12.35,12.6,12.3,12.5,27.55M,1.63%
12.45,12.65,12.4,12.6,28.83M,0.80%
